# Env Var Inventory (non-test source)
# Generated: 2026-02-23T06:57:59Z
# Columns: env_var	reference_count	unique_file_count	files
FLOW_TRENDING_THRESHOLD	1	1	src/config/index.ts
FLOW_WINDOW_MS	1	1	src/config/index.ts
FLY_APP_NAME	1	1	src/security/localOnly.ts
FLY_REGION	1	1	src/security/localOnly.ts
GCLOUD_PROJECT	1	1	src/security/localOnly.ts
GCP_PROJECT	2	2	src/security/localOnly.ts,src/ui/lib/security/localOnly.ts
GOOGLE_CLOUD_PROJECT	2	2	src/security/localOnly.ts,src/ui/lib/security/localOnly.ts
HARD_RISK_MAX_BALANCE_STALE_MS	1	1	src/risk/hardRiskGuard.ts
HARD_RISK_MAX_DRAWDOWN_PCT	1	1	src/risk/hardRiskGuard.ts
HARD_RISK_MAX_EXPOSURE	1	1	src/risk/hardRiskGuard.ts
HARD_RISK_MAX_SKEW_PCT	1	1	src/risk/hardRiskGuard.ts
HARD_RISK_MIN_FEED_HEALTH	1	1	src/risk/hardRiskGuard.ts
HARD_RISK_MIN_PEAK_EQUITY	1	1	src/risk/hardRiskGuard.ts
HARD_RISK_MIN_TRADES_FOR_DRAWDOWN	1	1	src/risk/hardRiskGuard.ts
HEROKU_APP_NAME	1	1	src/security/localOnly.ts
HISTORY_MODE	2	2	src/config/index.ts,src/runtime/firstRunInit.ts
INSTRUMENT_DB_PATH	3	3	scripts/reset-first-run.js,src/runtime/firstRunInit.ts,src/market/instrumentRegistry/db.ts
ISSUER_BLACKLIST	1	1	src/config/index.ts
ISSUER_ROUTER_ALLOW_LEGACY	1	1	src/market/issuerRouter.ts
ISSUER_ROUTER_MIN_TIER	2	1	src/market/issuerRouter.ts
ISSUER_ROUTER_USE_REGISTRY	1	1	src/market/issuerRouter.ts
KMS_KEY_ID	1	1	src/xrpl/signer.ts
KUBERNETES_PORT	1	1	src/security/localOnly.ts
KUBERNETES_SERVICE_HOST	2	2	src/security/localOnly.ts,src/ui/lib/security/localOnly.ts
LATENCY_IMPACT_DECISION_FRESHNESS_MS	2	2	src/analytics/feedbackEngine.ts,src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_DEFAULT_FIELD	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_FILL_FRESHNESS_MS	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_MAX_MISSING_ACK_RATE	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_MAX_MISSING_FILL_SNAPSHOT_RATE	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_MAX_MISSING_MARKOUT_RATE	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_MAX_NEG_RATE_AGE_DELTA	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_MAX_TS_MONOTONICITY_VIOLATION_RATE	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_QUANTILES	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_SEND_FRESHNESS_MS	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_SLIPPAGE_IMPROVEMENT_BPS	2	2	src/analytics/feedbackEngine.ts,src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_WEEKLY_P50_DRIFT_LIMIT	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LATENCY_IMPACT_WEEKLY_P90_DRIFT_LIMIT	1	1	src/ui/pages/api/analytics/latency-impact-config.ts
LEDGER_DERIVATION_PATH	1	1	src/xrpl/signer.ts
LEDGER_ENABLED	1	1	src/xrpl/signer.ts
LIQUIDITY_FLOW_WINDOW_MS	1	1	src/market/liquidityIntelligence.ts
LIQUIDITY_SPREAD_WINDOW_SIZE	1	1	src/market/liquidityIntelligence.ts
LOCAL_API_TOKEN	1	1	src/ui/lib/localApi/withLocalApi.ts
LOG_LEVEL	3	2	src/ui/lib/botController.ts,src/config/index.ts
LOG_MAX_PER_SEC	1	1	src/analytics/throttledLogger.ts
MAINNET_LIVE_TRADING_ACK	1	1	src/security/safetyPolicy.ts
MARKOUT_HORIZONS_S	1	1	src/analytics/tradeMarkoutScheduler.ts
MAX_DAILY_LOSS_XRP	1	1	src/config/index.ts
MAX_EXPOSURE_PER_ISSUER	1	1	src/config/index.ts
MAX_SLIPPAGE_BPS	1	1	src/config/index.ts
MAX_TRADE_SIZE	2	2	src/config/index.ts,src/security/safetyPolicy.ts
MIN_SPREAD_BPS	1	1	src/config/index.ts
NETLIFY	1	1	src/security/localOnly.ts
NETLIFY_DEV	1	1	src/security/localOnly.ts
NEXT_PUBLIC_TRADE_TOASTS_ENABLED	1	1	src/ui/app/page.tsx
NEXT_PUBLIC_UI_USE_MOCK_DATA	1	1	src/ui/lib/mockDataConfig.ts
NEXT_PUBLIC_XRPL_NETWORK	2	2	src/ui/app/page.tsx,src/ui/components/TradeTapePanel.tsx
NODE_ENV	12	12	server.js,src/ui/lib/botController.ts,scripts/reset-first-run.js,src/ui/lib/mockDataConfig.ts,src/config/tradingPairs.ts,src/security/safetyPolicy.ts,src/security/localOnly.ts,src/ui/lib/audit/auditLogger.ts,src/risk/exposureTracker.ts,src/ui/lib/security/localOnly.ts,src/xrpl/signer.ts,src/ui/lib/http/cors.ts
NOW_REGION	1	1	src/ui/lib/security/localOnly.ts
ORDERBOOK_SOURCE_LEDGER_STALE_MS	1	1	src/market/orderBookTracker.ts
ORDERBOOK_STALE_MS	2	2	src/config/index.ts,src/market/orderBookTracker.ts
PAIR_RESOLVER_CACHE_TTL_MS	1	1	src/market/executionPairResolver.ts
PAIR_RESOLVER_FAIL_ON_UNRESOLVABLE	1	1	src/market/executionPairResolver.ts
PAPER_TRADING	2	2	src/config/index.ts,src/security/safetyPolicy.ts
PATH_ARB_BREAKER_STORE	1	1	src/persistence/breakerStore.ts
PATH_ARB_CIRCUIT_BREAKER_COOLDOWN_MS	1	1	src/strategies/pathArbitrage.ts
PATH_ARB_CIRCUIT_BREAKER_MAX_LOSS_BPS	1	1	src/strategies/pathArbitrage.ts
PATH_ARB_CIRCUIT_BREAKER_WINDOW_MS	1	1	src/strategies/pathArbitrage.ts
PATH_ARB_DRY_RUN	1	1	src/strategies/pathArbitrage.ts
PATH_ARB_ENABLED	1	1	src/strategies/pathArbitrage.ts
PATH_ARB_MIN_PROFIT_BPS	1	1	src/config/index.ts
PERF_SUMMARY_INTERVAL_MS	1	1	src/monitoring/perfTracer.ts
PORT	1	1	server.js
POSITION_SIZE_XRP	2	2	src/config/index.ts,src/security/safetyPolicy.ts
RAILWAY_ENVIRONMENT	1	1	src/security/localOnly.ts
RAILWAY_PROJECT_ID	1	1	src/security/localOnly.ts
REDIS_URL	3	3	scripts/reset-first-run.js,src/persistence/breakerStore.ts,src/ui/lib/health/botWiringHealth.ts
REGIME_DISABLE_SCORE_BPS	1	1	src/analytics/regimePolicy.ts
REGIME_ENABLE_SCORE_BPS	1	1	src/analytics/regimePolicy.ts
REGIME_MAX_SIZE	1	1	src/analytics/regimePolicy.ts
REGIME_MIN_SIZE	1	1	src/analytics/regimePolicy.ts
REGIME_POLICY_ALPHA	1	1	src/analytics/regimePolicy.ts
REGIME_POLICY_ENABLED	1	1	src/analytics/regimePolicy.ts
REGIME_POLICY_LOOKBACK_HOURS	1	1	src/analytics/regimePolicy.ts
REGIME_POLICY_MIN_TRADES	1	1	src/analytics/regimePolicy.ts
REGIME_SIZE_STEP	1	1	src/analytics/regimePolicy.ts
RENDER	1	1	src/security/localOnly.ts
RENDER_SERVICE_ID	1	1	src/security/localOnly.ts
REPRICE_CHURN_LIMIT_PER_MIN	1	1	src/execution/repricePolicy.ts
REPRICE_DRIFT_THRESHOLD_BPS	1	1	src/execution/repricePolicy.ts
REPRICE_HARD_STALENESS_MS	1	1	src/execution/repricePolicy.ts
RESERVE_BUFFER_BPS	1	1	src/xrpl/reserve.ts
RESERVE_BUFFER_XRP	1	1	src/xrpl/reserve.ts
RESERVE_FLOOR_XRP	2	2	scripts/daily-health-check.js,src/config/index.ts
SAFETY_LOCK_FILE	1	1	src/security/safetyPolicy.ts
SAFETY_SKIP_MAINNET_ACK	1	1	src/security/safetyPolicy.ts
SAFETY_SKIP_REMOTE_POLICY	1	1	src/security/safetyPolicy.ts
SCALPER_ENTRY_CROSS_BPS	1	1	src/config/index.ts
SCALPER_EXIT_CROSS_BPS	1	1	src/config/index.ts
SCALPER_MAX_EXIT_SPREAD_BPS	1	1	src/config/index.ts
SCALPER_MAX_SPREAD_BPS	1	1	src/config/index.ts
SCANNER_ENABLED	1	1	src/config/index.ts
SCANNER_MAX_MARKETS	1	1	src/config/index.ts
SCANNER_MAX_RPS	1	1	src/config/index.ts
SCANNER_MAX_STALENESS_MS	1	1	src/config/index.ts
SCANNER_TIER1_INTERVAL_MS	1	1	src/config/index.ts
SCANNER_TIER2_INTERVAL_MS	1	1	src/config/index.ts
SIGNER_SKIP_READY_CHECK	1	1	src/xrpl/signer.ts
SINGLE_PROCESS_MODE	2	2	src/runtime/runtimeSingleton.ts,src/xrpl/guard.ts
SLIPPAGE_INVALID_WARN_COOLDOWN_MS	1	1	src/analytics/slippageMath.ts
SLIPPAGE_REALISM_DECISION_FRESHNESS_MS	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_FEE_BPS	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_FEE_BPS_TIER1	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_FEE_BPS_TIER2	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_FEE_BPS_TIER3	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_FILL_FRESHNESS_MS	2	2	src/analytics/feedbackEngine.ts,src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_FILL_FRESHNESS_MS_XRPL	2	2	src/analytics/feedbackEngine.ts,src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_ILLIQ_FILL_FRESHNESS_MS	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_MAX_MISSING_FILL_SNAPSHOT_RATE	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_MAX_NEG_RATE_TIER1	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_MAX_NEG_RATE_TIER2	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_MAX_NEG_RATE_TIER3	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_MAX_RECOMPUTE_MISMATCH_RATE	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_MAX_STALE_FILL_SNAPSHOT_RATE	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_MAX_TOUCH_SANITY_VIOLATION_RATE	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_MAX_TS_MONOTONICITY_VIOLATION_RATE	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_SEND_FRESHNESS_MS	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_SIZE_MONOTONICITY_BPS	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_SOURCE_SKEW_MULTIPLIER	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_TOO_BAD_BPS_BUFFER	2	2	src/analytics/feedbackEngine.ts,src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_TOO_GOOD_BPS_BUFFER	2	2	src/analytics/feedbackEngine.ts,src/ui/pages/api/analytics/slippage-realism-config.ts
SLIPPAGE_REALISM_TOO_GOOD_SPREAD_WEIGHT	1	1	src/ui/pages/api/analytics/slippage-realism-config.ts
SNAPSHOT_FLUSH_INTERVAL	1	1	src/analytics/feedbackEngine.ts
STOP_LOSS_BPS	1	1	src/config/index.ts
STRATEGY_MAX_TPS	1	1	src/utils/rateLimiter.ts
TESTNET_SEED	1	1	scripts/fundExistingRlusdTestnet.ts
TRADE_BASE_CURRENCY	1	1	src/config/index.ts
TRADE_BASE_ISSUER	1	1	src/config/index.ts
TRADE_ISSUER	3	2	src/config/index.ts,src/xrpl/client.ts
TRADE_QUOTE_CURRENCY	1	1	src/config/index.ts
TRADE_QUOTE_ISSUER	1	1	src/config/index.ts
TRADE_TAPE_ENABLED	2	2	src/xrpl/client.ts,src/market/tradeTapeService.ts
TRADE_TAPE_IGNORE_SELF	1	1	src/market/tradeTape.ts
TRADE_TAPE_MAX_SIZE	1	1	src/market/tradeTape.ts
TRUSTLINE_AUTO_ENSURE	1	1	src/market/trustlineGovernance.ts
TRUSTLINE_DEFAULT_LIMIT	1	1	src/market/trustlineGovernance.ts
TRUSTLINE_REQUIRE_REGISTERED	1	1	src/market/trustlineGovernance.ts
TX_INTENT_LOOKUP_MAX_TPS	1	1	src/ui/pages/api/debug/tx-intent.ts
TX_INTENT_LOOKUP_TIMEOUT_MS	1	1	src/ui/pages/api/debug/tx-intent.ts
VERCEL	2	2	src/security/localOnly.ts,src/ui/lib/security/localOnly.ts
VERCEL_ENV	2	2	src/security/localOnly.ts,src/ui/lib/security/localOnly.ts
VERCEL_URL	2	2	src/security/localOnly.ts,src/ui/lib/security/localOnly.ts
VOL_STOP_ALPHA	1	1	src/config/index.ts
VOL_STOP_ENABLED	1	1	src/config/index.ts
VOL_STOP_MAX_BPS	1	1	src/config/index.ts
VOL_STOP_MIN_BPS	1	1	src/config/index.ts
VOL_STOP_MIN_SAMPLES	1	1	src/config/index.ts
VOL_STOP_MULTIPLIER	1	1	src/config/index.ts
VOL_STOP_USE_FOR_ENHANCED	1	1	src/config/index.ts
VOL_STOP_WARMUP_MS	1	1	src/config/index.ts
WALLET_SEED	2	1	src/config/index.ts
WEBSITE_SITE_NAME	1	1	src/security/localOnly.ts
XRPL_429_COOLDOWN_MS	1	1	src/xrpl/sharedClient.ts
XRPL_BACKOFF_429_MULTIPLIER	1	1	src/xrpl/sharedClient.ts
XRPL_CONNECT_TIMEOUT_MS	1	1	src/xrpl/sharedClient.ts
XRPL_DISCOVERY_MIN_LIQUIDITY_USD	1	1	src/config/index.ts
XRPL_DISCOVERY_MIN_VOLUME_USD	1	1	src/config/index.ts
XRPL_ENDPOINT	2	2	src/config/index.ts,src/xrpl/sharedClient.ts
XRPL_INITIAL_RECONNECT_DELAY_MS	1	1	src/xrpl/sharedClient.ts
XRPL_MAX_RECONNECTS	1	1	src/config/index.ts
XRPL_MAX_RECONNECT_DELAY_MS	1	1	src/xrpl/sharedClient.ts
XRPL_MIN_CONNECT_INTERVAL_MS	1	1	src/xrpl/sharedClient.ts
XRPL_NETWORK	4	4	src/config/index.ts,src/security/safetyPolicy.ts,src/xrpl/signer.ts,src/market/executionPairResolver.ts
XRPL_RECONNECT_DELAY_MS	1	1	src/config/index.ts
XRPL_RECONNECT_MAX_DELAY_MS	1	1	src/config/index.ts
XRPL_REQUEST_TIMEOUT_MS	1	1	src/xrpl/client.ts
XRPL_SECRET	4	3	src/config/index.ts,src/xrpl/wallet.ts,src/xrpl/signer.ts
XRPL_SECRET_MAINNET	2	2	src/config/index.ts,src/xrpl/wallet.ts
XRPL_SECRET_MAINNET_ENC	1	1	src/xrpl/wallet.ts
XRPL_SECRET_NUMBERS	3	2	src/config/index.ts,src/xrpl/signer.ts
XRPL_SECRET_NUMBERS_INPUT	1	1	scripts/encrypt-mainnet-secret-numbers.ts
